fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Andre Petroski,Gerald Meerschaert,1,0,67 of 143,92 of 166,57 of 132,76 of 149,39 of 114,65 of 135,12 of 12,6 of 9,6 of 6,5 of 5,46 of 117,60 of 131,3 of 4,10 of 10,8 of 11,6 of 8,2 of 5,1 of 3,0,0,0,0,2:06,1:54,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/9f7c28381b6913c8
Andrea Lee,Natalia Silva,0,0,43 of 125,70 of 174,43 of 125,70 of 174,12 of 74,34 of 111,11 of 23,17 of 43,20 of 28,19 of 20,43 of 125,70 of 174,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/8c7b5b21b3532027
Karine Silva,Maryna Moroz,1,0,52 of 76,25 of 66,30 of 53,16 of 55,15 of 31,8 of 41,7 of 9,7 of 12,8 of 13,1 of 2,18 of 40,10 of 47,11 of 12,6 of 8,1 of 1,0 of 0,1 of 1,0 of 0,1,0,0,1,0:51,1:41,W,Submission,1,4:59,John English,http://ufcstats.com/fight-details/f329bd89e375d6df
Vicente Luque,Rafael Dos Anjos,0,0,138 of 221,94 of 170,72 of 141,66 of 136,48 of 115,42 of 108,17 of 19,19 of 23,7 of 7,5 of 5,60 of 127,38 of 105,8 of 8,26 of 27,4 of 6,2 of 4,8 of 11,2 of 7,0,1,0,0,12:01,3:54,W,Decision - Unanimous,5,5:00,Mark Smith,http://ufcstats.com/fight-details/e346f2b7af63e804
Cub Swanson,Hakeem Dawodu,0,0,107 of 195,129 of 224,77 of 156,95 of 176,41 of 112,41 of 104,27 of 31,29 of 37,9 of 13,25 of 35,59 of 135,79 of 158,18 of 21,16 of 18,0 of 0,0 of 0,1 of 2,0 of 0,0,0,0,1,1:25,3:10,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/1b1fd32485861655
Khalil Rountree Jr.,Chris Daukaus,1,0,16 of 24,14 of 28,16 of 24,8 of 21,12 of 19,6 of 19,3 of 4,2 of 2,1 of 1,0 of 0,11 of 17,7 of 19,3 of 4,1 of 2,2 of 3,0 of 0,0 of 0,0 of 1,0,0,0,0,0:31,0:04,W,KO/TKO,1,2:40,Herb Dean,http://ufcstats.com/fight-details/c57a4810c932b296
Polyana Viana,Iasmin Lucindo,0,0,41 of 68,31 of 48,10 of 25,10 of 24,2 of 15,5 of 18,4 of 6,4 of 5,4 of 4,1 of 1,10 of 25,9 of 21,0 of 0,0 of 0,0 of 0,1 of 3,1 of 3,2 of 2,0,1,0,0,1:58,3:13,L,Submission,2,3:42,Chris Tognoni,http://ufcstats.com/fight-details/c2f730cb33df5221
AJ Dobson,Tafon Nchukwi,0,0,98 of 176,59 of 106,67 of 134,53 of 99,19 of 75,11 of 47,12 of 18,12 of 15,36 of 41,30 of 37,61 of 119,49 of 92,2 of 5,4 of 7,4 of 10,0 of 0,2 of 3,0 of 0,0,0,0,0,4:33,0:00,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/560a971c6ab8b854
Josh Fremd,Jamie Pickett,0,0,59 of 109,26 of 67,31 of 80,14 of 52,11 of 49,4 of 31,10 of 18,6 of 16,10 of 13,4 of 5,22 of 64,11 of 45,6 of 11,3 of 7,3 of 5,0 of 0,0 of 3,2 of 3,2,0,1,0,7:15,3:01,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/9a9479663bedf8b4
JP Buys,Marcus McGhee,0,1,4 of 30,7 of 13,4 of 30,7 of 13,2 of 22,6 of 11,1 of 3,0 of 0,1 of 5,1 of 2,4 of 29,7 of 13,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0,0,0,0,0:00,0:05,L,KO/TKO,1,2:19,Jason Herzog,http://ufcstats.com/fight-details/2c160a1d1fdbf0b0
Terrance McKinney,Mike Breeden,0,0,30 of 47,1 of 5,30 of 47,1 of 5,23 of 36,0 of 4,7 of 11,1 of 1,0 of 0,0 of 0,16 of 30,1 of 5,11 of 14,0 of 0,3 of 3,0 of 0,0 of 2,0 of 1,0,0,0,0,0:03,0:00,W,KO/TKO,1,1:25,Chris Tognoni,http://ufcstats.com/fight-details/9576d9cba5cf5c4e
Francis Marshall,Isaac Dulgarian,0,0,11 of 16,61 of 83,2 of 7,35 of 53,0 of 5,32 of 50,0 of 0,0 of 0,2 of 2,3 of 3,2 of 7,3 of 4,0 of 0,0 of 0,0 of 0,32 of 49,0 of 0,1 of 1,0,0,0,0,0:00,4:18,L,KO/TKO,1,4:48,Jason Herzog,http://ufcstats.com/fight-details/9479ba3cdcb1e513
Josh Parisian,Martin Buday,0,0,27 of 63,62 of 91,26 of 61,42 of 67,15 of 49,35 of 60,6 of 7,7 of 7,5 of 5,0 of 0,20 of 47,28 of 49,6 of 14,14 of 18,0 of 0,0 of 0,0 of 0,1 of 1,0,1,0,0,0:13,1:56,L,Submission,1,4:11,Herb Dean,http://ufcstats.com/fight-details/d5929b7fbc801ce4
Jaqueline Amorim,Montserrat Conejo Ruiz,0,0,141 of 208,20 of 57,86 of 136,6 of 36,76 of 120,2 of 29,9 of 14,2 of 4,1 of 2,2 of 3,6 of 15,5 of 31,0 of 0,0 of 1,80 of 121,1 of 4,1 of 3,1 of 1,4,0,2,0,8:05,3:39,W,KO/TKO,3,3:41,Chris Tognoni,http://ufcstats.com/fight-details/ca2aa660bea0cb60
Da'Mon Blackshear,Jose Johnson,0,0,30 of 46,16 of 21,18 of 30,8 of 12,7 of 16,4 of 7,2 of 5,2 of 3,9 of 9,2 of 2,5 of 13,7 of 9,6 of 8,0 of 2,7 of 9,1 of 1,2 of 4,0 of 0,1,0,0,0,2:57,0:00,W,Submission,1,3:47,Mark Smith,http://ufcstats.com/fight-details/91a5480f48bfaa71
Juliana Miller,Luana Santos,0,0,25 of 77,64 of 106,24 of 75,63 of 105,15 of 61,44 of 82,9 of 13,16 of 20,0 of 1,3 of 3,18 of 64,53 of 88,6 of 11,10 of 17,0 of 0,0 of 0,0 of 2,0 of 0,0,0,0,0,0:29,0:26,L,KO/TKO,1,3:41,Jason Herzog,http://ufcstats.com/fight-details/e3573545220ca4ea
Cory Sandhagen,Rob Font,0,0,132 of 211,25 of 69,34 of 84,9 of 49,30 of 79,5 of 43,2 of 3,2 of 3,2 of 2,2 of 3,10 of 47,8 of 44,0 of 1,0 of 3,24 of 36,1 of 2,7 of 7,1 of 2,1,0,0,0,19:38,1:08,W,Decision - Unanimous,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/554163b1c8c05522
Jessica Andrade,Tatiana Suarez,0,0,13 of 31,25 of 51,11 of 29,23 of 49,2 of 14,3 of 20,5 of 8,17 of 26,4 of 7,3 of 3,8 of 23,13 of 36,3 of 6,10 of 13,0 of 0,0 of 0,0 of 0,3 of 3,0,1,0,0,0:17,2:22,L,Submission,2,1:31,Kevin MacDonald,http://ufcstats.com/fight-details/ec2358459ffbe7de
Dustin Jacoby,Kennedy Nzechukwu,1,0,10 of 33,4 of 18,10 of 33,4 of 18,5 of 28,3 of 14,0 of 0,0 of 3,5 of 5,1 of 1,10 of 26,4 of 18,0 of 0,0 of 0,0 of 7,0 of 0,0 of 0,0 of 0,0,0,0,0,0:04,0:00,W,KO/TKO,1,1:22,Gary Copeland,http://ufcstats.com/fight-details/2c54be25b09fce50
Diego Lopes,Gavin Tucker,0,0,0 of 4,0 of 6,0 of 4,0 of 6,0 of 3,0 of 6,0 of 0,0 of 0,0 of 1,0 of 0,0 of 4,0 of 6,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,3,0,0,0,0:00,0:39,W,Submission,1,1:38,Jimmy Neely,http://ufcstats.com/fight-details/79bfba62da6242a6
Tanner Boser,Aleksa Camur,0,0,145 of 253,105 of 175,120 of 215,68 of 136,78 of 163,34 of 97,24 of 32,25 of 28,18 of 20,9 of 11,87 of 174,46 of 108,33 of 41,22 of 28,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,5:27,1:01,W,Decision - Unanimous,3,5:00,Justin Brown,http://ufcstats.com/fight-details/2c0496a5f39ab8a4
Ignacio Bahamondes,Ludovit Klein,0,0,62 of 166,94 of 151,43 of 139,56 of 108,29 of 114,36 of 82,9 of 16,11 of 16,5 of 9,9 of 10,41 of 133,43 of 88,2 of 6,1 of 1,0 of 0,12 of 19,0 of 1,3 of 5,0,0,0,0,0:07,6:05,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/531ce3d8011fa1f6
Kyler Phillips,Raoni Barcelos,1,0,80 of 196,52 of 124,72 of 187,46 of 116,40 of 146,20 of 87,18 of 26,15 of 17,14 of 15,11 of 12,62 of 174,39 of 105,6 of 8,7 of 10,4 of 5,0 of 1,1 of 4,3 of 11,0,0,0,0,0:47,1:42,W,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/e5cb9dfc1189d77d
Jeremiah Wells,Carlston Harris,0,0,41 of 78,19 of 36,18 of 48,5 of 19,16 of 46,1 of 14,2 of 2,3 of 4,0 of 0,1 of 1,5 of 25,5 of 19,2 of 3,0 of 0,11 of 20,0 of 0,3 of 5,0 of 1,2,1,0,0,9:26,0:13,L,Submission,3,1:50,Jason Herzog,http://ufcstats.com/fight-details/bda7992779a005fa
Billy Quarantillo,Damon Jackson,0,0,169 of 270,75 of 184,100 of 188,67 of 173,45 of 124,45 of 139,49 of 57,19 of 31,6 of 7,3 of 3,58 of 140,53 of 148,42 of 48,10 of 15,0 of 0,4 of 10,0 of 0,3 of 13,1,0,0,0,1:51,6:10,W,Decision - Unanimous,3,5:00,Kevin MacDonald,http://ufcstats.com/fight-details/1b0d5e65fdfc62cf
Cody Durden,Jake Hadley,0,0,63 of 122,45 of 106,38 of 85,26 of 83,23 of 66,12 of 61,9 of 11,10 of 16,6 of 8,4 of 6,30 of 67,23 of 76,1 of 1,3 of 7,7 of 17,0 of 0,4 of 6,0 of 3,1,3,0,1,7:25,2:04,W,Decision - Unanimous,3,5:00,Jimmy Neely,http://ufcstats.com/fight-details/38901948cff43ff9
Sean Woodson,Dennis Buzukja,0,0,163 of 229,46 of 121,71 of 126,42 of 116,36 of 77,24 of 85,18 of 32,11 of 17,17 of 17,7 of 14,61 of 113,32 of 96,8 of 11,5 of 8,2 of 2,5 of 12,4 of 5,0 of 1,0,0,0,1,5:52,2:30,W,Decision - Unanimous,3,5:00,Justin Brown,http://ufcstats.com/fight-details/436a1ce6b0c6b4bb
Ode Osbourne,Asu Almabayev,0,0,8 of 22,52 of 78,4 of 18,26 of 40,4 of 16,17 of 31,0 of 2,5 of 5,0 of 0,4 of 4,3 of 17,9 of 14,0 of 0,0 of 0,1 of 1,17 of 26,0 of 0,2 of 5,0,2,0,0,0:21,5:24,L,Submission,2,3:11,Gary Copeland,http://ufcstats.com/fight-details/6b5c225814a924ed
